cod6,cod7,nome,idhm,idhm_renda,idhm_longevidade,idhm_educacao,renda_per_capita,gini,pct_pobres,pct_extrema_pobreza,esperanca_vida,pct_analfabetismo_18mais
430003,4300034,ACEGUÁ,0.687,0.703,0.852,0.541,633.63,0.53,13.65,2.34,76.14,6.80
430005,4300059,ÁGUA SANTA,0.750,0.840,0.850,0.590,1491.17,0.68,6.62,0.48,76.00,5.72
430010,4300109,AGUDO,0.694,0.752,0.847,0.524,861.06,0.52,8.71,3.91,75.84,7.14
430020,4300208,AJURICABA,0.753,0.763,0.850,0.658,925.70,0.47,3.62,0.84,75.98,5.33
430030,4300307,ALECRIM,0.672,0.683,0.852,0.522,561.62,0.49,16.76,9.48,76.13,8.37
430040,4300406,ALEGRETE,0.740,0.720,0.849,0.664,705.29,0.52,9.47,2.74,75.93,6.30
430045,4300455,ALEGRIA,0.695,0.717,0.818,0.572,692.76,0.53,12.57,6.00,74.07,10.62
430047,4300471,ALMIRANTE TAMANDARÉ DO SUL,0.740,0.732,0.828,0.669,760.16,0.44,7.16,1.19,74.67,4.50
430050,4300505,ALPESTRE,0.671,0.700,0.795,0.543,625.11,0.49,12.75,6.06,72.69,13.54
430055,4300554,ALTO ALEGRE,0.747,0.756,0.859,0.642,880.85,0.48,6.55,2.38,76.52,7.86
430057,4300570,ALTO FELIZ,0.734,0.740,0.886,0.603,802.20,0.29,1.53,0.72,78.14,2.69
430060,4300604,ALVORADA,0.699,0.694,0.874,0.564,600.48,0.43,7.32,2.15,77.41,4.15
430063,4300638,AMARAL FERRADOR,0.624,0.664,0.802,0.457,499.77,0.44,16.60,3.71,73.13,12.92
430064,4300646,AMETISTA DO SUL,0.682,0.697,0.809,0.562,611.20,0.58,16.67,5.58,73.54,12.25
430066,4300661,ANDRÉ DA ROCHA,0.720,0.738,0.837,0.605,792.19,0.50,6.76,0.83,75.19,6.95
430070,4300703,ANTA GORDA,0.740,0.742,0.868,0.630,810.41,0.34,1.87,0.50,77.08,5.96
430080,4300802,ANTÔNIO PRADO,0.758,0.777,0.835,0.671,1004.85,0.41,1.14,0.35,75.07,5.11
430085,4300851,ARAMBARÉ,0.691,0.694,0.833,0.570,599.72,0.48,11.37,2.91,74.98,7.82
